Transaction ID,Transaction Type,Date & time,Asset Acquired,"Quantity Acquired (Bought, Received, etc)",Cost Basis (incl. fees paid) (USD),Data Source,"Asset Disposed (Sold, Sent, etc)",Quantity Disposed,Proceeds (excl. fees paid) (USD)
36c71a31-afee-5bfa-82b4-ea3f4c653f10,Receive,2021-02-06T23:01:09Z,ETH,0.0059,0,Not available,,,
ab5b8eb0-750c-5ba4-91ba-8bebbaa9b6d8,Sell,2021-02-08T22:03:15Z,,,,,ETH,0.00588416,8.999999999999999999920768
991ccc21-671d-55b7-8608-7a84dcc3994e,Receive,2021-05-29T20:16:01Z,ETH,0.15,0,Not available,,,
627b746a-974d-574b-ac15-8182092e06fe,Receive,2021-06-19T12:48:09Z,ETH,0.01,0,Not available,,,
aea9ed35-79bb-5684-b0a4-81107bd86ff6,Receive,2021-06-19T12:50:43Z,ETH,0.2,0,Not available,,,
dfb6194c-6a98-5670-bd7e-a8656fe9179e,Receive,2021-06-19T12:52:01Z,ETH,0.0715429099817674,0,Not available,,,
21fce302-aed2-53e2-bc7b-7c463604d467,Receive,2021-06-29T16:13:50Z,ETH,0.099245015866411,0,Not available,,,
d7fae35c-b605-5fb1-87e1-ea766477267b,Sell,2021-07-02T17:37:33Z,,,,,ETH,0.05714455,117.00999999999999999930913
06a49e4f-b3ef-539e-9a5f-e6ed06336299,Receive,2021-07-13T16:55:03Z,ETH,0.0507716912692127,0,Not available,,,
b69019f0-6972-5ded-8467-58133f427fa4,Sell,2021-07-23T23:13:30Z,,,,,ETH,0.04797119,97.010000000000000001638588
6b2a230e-899e-5d93-987f-2bb6011f50b0,Receive,2021-07-27T00:11:39Z,ETH,0.0538263526408017,0,Not available,,,
1ce0f347-c5cc-5649-891a-0b7cbf3e0050,Sell,2021-07-27T19:31:19Z,,,,,ETH,0.11233348,246.280000000000000003997916
212662d9-721a-55e8-bb73-6cf9c2d2561f,Sell,2021-08-06T22:05:47Z,,,,,ETH,0.03476476,97.010000000000000000904108
80359322-f874-5645-83e1-26cccae97a84,Receive,2021-08-13T18:18:03Z,ETH,0.0504070243695928,0,Not available,,,
5f085464-635e-5bee-8813-4fa49d7b8417,Sell,2021-08-14T20:14:04Z,,,,,ETH,0.03871843,122.009999999999999999023087
42a9e691-83cc-58a9-855f-2abf2c796214,Sell,2021-08-17T14:08:19Z,,,,,ETH,0.12446132,394.03999999999999999653746
